0 -65 -65
0.05 -60.9082 -65.2381
0.1 -59.0432 -65.4649
0.15 -57.765 -65.6808
0.2 -56.7848 -65.8865
0.25 -55.9924 -66.0824
0.3 -55.3319 -66.2689
0.35 -54.7701 -66.4466
0.4 -54.2853 -66.6158
0.45 -53.8625 -66.777
0.5 -53.4908 -66.9304
0.55 -53.1618 -67.0766
0.6 -52.869 -67.2158
0.65 -52.6073 -67.3484
0.7 -52.3725 -67.4746
0.75 -52.1611 -67.5949
0.8 -51.9704 -67.7094
0.85 -51.7978 -67.8185
0.9 -51.6413 -67.9223
0.95 -51.4992 -68.0212
1 -51.3699 -68.1154
1.05 -51.252 -68.2051
1.1 -51.1445 -68.2905
1.15 -51.0463 -68.3718
1.2 -50.9565 -68.4492
1.25 -50.8742 -68.5229
1.3 -50.7989 -68.593
1.35 -50.7298 -68.6598
1.4 -50.6664 -68.7233
1.45 -50.6082 -68.7838
1.5 -50.5547 -68.8414
1.55 -50.5055 -68.8961
1.6 -50.4603 -68.9482
1.65 -50.4187 -68.9978
1.7 -50.3803 -69.0449
1.75 -50.345 -69.0897
1.8 -50.3125 -69.1323
1.85 -50.2826 -69.1729
1.9 -50.2549 -69.2114
1.95 -50.2295 -69.248
2 -50.206 -69.2828
2.05 -50.1843 -69.3159
2.1 -50.1643 -69.3473
2.15 -50.1458 -69.3772
2.2 -50.1288 -69.4056
2.25 -50.1131 -69.4325
2.3 -50.0986 -69.4581
2.35 -50.0852 -69.4824
2.4 -50.0728 -69.5054
2.45 -50.0614 -69.5273
2.5 -50.0509 -69.5481
2.55 -50.0412 -69.5678
2.6 -50.0322 -69.5866
2.65 -50.0239 -69.6043
2.7 -50.0162 -69.6212
2.75 -50.0092 -69.6372
2.8 -50.0027 -69.6523
2.85 -49.9966 -69.6667
2.9 -49.9911 -69.6804
2.95 -49.986 -69.6933
3 -49.9813 -69.7056
3.05 -49.9769 -69.7172
3.1 -49.9729 -69.7283
3.15 -49.9692 -69.7387
3.2 -49.9658 -69.7487
3.25 -49.9627 -69.7581
3.3 -49.9598 -69.767
3.35 -49.9572 -69.7754
3.4 -49.9547 -69.7834
3.45 -49.9525 -69.791
3.5 -49.9504 -69.7982
3.55 -49.9485 -69.805
3.6 -49.9468 -69.8115
3.65 -49.9452 -69.8176
3.7 -49.9437 -69.8234
3.75 -49.9424 -69.8289
3.8 -49.9411 -69.8341
3.85 -49.94 -69.8391
3.9 -49.939 -69.8437
3.95 -49.9381 -69.8482
4 -49.9372 -69.8524
4.05 -49.9364 -69.8563
4.1 -49.9357 -69.8601
4.15 -49.9351 -69.8637
4.2 -49.9345 -69.867
4.25 -49.934 -69.8702
4.3 -49.9335 -69.8733
4.35 -49.933 -69.8761
4.4 -49.9327 -69.8789
4.45 -49.9323 -69.8814
4.5 -49.932 -69.8839
4.55 -49.9317 -69.8862
4.6 -49.9314 -69.8884
4.65 -49.9312 -69.8905
4.7 -49.931 -69.8924
4.75 -49.9308 -69.8943
4.8 -49.9307 -69.896
4.85 -49.9306 -69.8977
4.9 -49.9304 -69.8993
4.95 -49.9303 -69.9008
5 -49.9303 -69.9022
5.05 -49.9302 -69.9036
5.1 -49.9301 -69.9048
5.15 -49.9301 -69.906
5.2 -49.93 -69.9072
5.25 -49.93 -69.9083
5.3 -49.93 -69.9093
5.35 -49.93 -69.9103
5.4 -49.93 -69.9112
5.45 -49.93 -69.912
5.5 -49.93 -69.9129
